simulation,height1,width1,height2,width2,shape,area,size,HtoW,numbFPspecies,days,years,TOTALN,TOTALP,N_to_P,initial_perc_SAV_cover,initial_perc_SAV_cells_occupied,SAV_biomass_per_cell,initial_perc_FP_cover,initial_perc_FP_cells_occupied,FP_biomass_per_cell,initialSAVcells,initial01cells,initial02cells,initial03cells,initial04cells,initialSAVtotmass,initial01totmass,initial02totmass,initial03totmass,initial04totmass,neigh_thresh_SAV,focal_thresh_SAV,amnt_colonize_SAV,neigh_thresh_FP,focal_thresh_FP,amnt_colonize_FP,maxSAVrgr,maxrgr01,maxrgr02,maxrgr03,maxrgr04,lightlimitationSAV,lightlimitation01,lightlimitation02,lightlimitation03,lightlimitation04,halfsatNSAV,halfsatN01,halfsatN02,halfsatN03,halfsatN04,shadingbyFP,lightattenuation,lossSAV,lossFP,uptakeNSAV,uptakeN01,uptakeN02,uptakeN03,uptakeN04,uptakePSAV,uptakeP01,uptakeP02,uptakeP03,uptakeP04,overwinterSAV,overwinter01,overwinter02,overwinter03,overwinter04,wind_shape1,wind_shape2,wind_avg,wind_stdev,prob_down,prob_up,prob_left,prob_right,wind_direction,full_thresh_wind
9001,20,20,5,5,rectangle,400,small,1,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,all,600
9002,20,20,5,5,rectangle,400,small,1,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
9003,20,20,5,5,rectangle,400,small,1,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,up,600
9004,20,20,5,5,rectangle,400,small,1,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,up,600
9005,21,20,5,4,hook,400,small,NA,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,all,600
9006,21,20,5,4,hook,400,small,NA,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
9007,21,20,5,4,hook,400,small,NA,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,up,600
9008,21,20,5,4,hook,400,small,NA,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,up,600
9009,20,22,5,4,tee,400,small,NA,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,all,600
9010,20,22,5,4,tee,400,small,NA,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
