height,width,timesteps,years,wind_prob,wind_directions,wind_directions.1,wind_directions.2,wind_directions.3,buffer,numbspecies,initial01,initial02,initial03,initial04,agedead01,agedead02,agedead03,agedead04,maxrgr01,maxrgr02,maxrgr03,maxrgr04,overwinter01,overwinter02,overwinter03,overwinter04,propyears_avgFP_abovethreshold,propyears_propdaysFP_abovehalf
10,10,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,1
10,10,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,1
10,10,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,1
20,20,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.9
20,20,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.8,0.9
20,20,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.9
50,50,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
50,50,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.8,0.9
50,50,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,0.9
100,100,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.8
100,100,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.8
100,100,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.8
150,150,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,0.7
150,150,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.6,0.6
150,150,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.5,0.6
10,10,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,1
10,10,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.4,0.9
10,10,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.4,1
20,20,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,1
20,20,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.8,1
20,20,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,1
50,50,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
50,50,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.9,0.9
50,50,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,0.9
100,100,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.8
100,100,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
100,100,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.6,0.7
150,150,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.7
150,150,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.6,0.7
150,150,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.5,0.6
10,10,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,1
10,10,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.9,1
10,10,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,1
20,20,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,1
20,20,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.8,1
20,20,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,0.8
50,50,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.8
50,50,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.9,0.9
50,50,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,0.9
100,100,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.7
100,100,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.8
100,100,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.8
150,150,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.5,0.7
150,150,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.6,0.7
150,150,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.7
10,10,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.9
10,10,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.9
10,10,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,1
20,20,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.9,1
20,20,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.9,0.9
20,20,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,1
50,50,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.9,0.9
50,50,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.9
50,50,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,0.8
100,100,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.8
100,100,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
100,100,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.5,0.7
150,150,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.5,0.6
150,150,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.3,0.5
150,150,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.6,0.7
10,40,75,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.9,1
10,40,75,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.9
10,40,75,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,1
